,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,WORLD SALES,,,,,,,,,,,,,,,,,,,,,,"2020, December Results "
,,Including Jinbei & Huasong ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,PROPRIETE RENAULT
,,MONTH,,,,,,,,,,,,YTD,,,,,,,,,,
,,TIV,,,,Volumes,,,,Market Share,,,,TIV,,,,Volumes,,,,Market Share,,
PC+LCV - Group,,Volumes Ku,Vol Y-1,∆ (U),∆ %,Volumes  u,Vol Y-1,∆ (U),∆ %,MS,Pdm Y-1,∆ pt,,Volumes Ku,Vol y-1,∆ Vol.,∆ %,Volumes  u,Vol y-1,∆ (U),∆ %,MS,MS y-1,∆ pt
,,,,Y-1,vs Y-1,,,vs Y-1,vs Y-1,%,,vs Y-1,,,,Y-1,vs Y-1,,,Y-1,vs Y-1,%,,vs Y-1
Malta,,0.634,0.565,0.0690000000000001,12.212389380531%,22,39,-17,-43.5897435897436%,3.47003154574132,6.90265486725664,-3.43262332151531,,9.084,8.586,0.497999999999999,5.8001397624039%,647,663,-16,-2.4132730015083%,7.12241303390577,7.72187281621244,-0.599459782306671
Iberia,,137.285,140.818,-3.53299999999999,-2.50891221292732%,19220,24353,-5133,-21.0774853200838%,14.0000728411698,17.2939538979392,-3.29388105676936,,1804.246,1695.437,108.809,6.41775542234833%,235999,230483,5516,2.39323507590581%,13.0802008151882,13.5943122628561,-0.514111447667951
Spain+Canary islands,,117.068,119.192,-2.124,-1.78199879186522%,15578,20416,-4838,-23.6971003134796%,13.3067960501589,17.1286663534465,-3.82187030328766,,1536.545,1434.593,101.952,7.10668461368487%,189480,185760,3720,2.00258397932818%,12.3315620434156,12.948620270697,-0.617058227281397
Portugal,,20.217,21.626,-1.409,-6.51530565060576%,3642,3937,-295,-7.49301498602997%,18.0145422169461,18.2049384999538,-0.190396283007626,,267.701,260.844,6.85700000000003,2.62877428654675%,46519,44723,1796,4.0158307805827%,17.3772230959167,17.1454969253654,0.231726170551358
Benelux,,54.627,56.691,-2.064,-3.64078954331375%,7811,10081,-2270,-22.5176073802202%,14.2987899756531,17.7823640436754,-3.4835740680223,,1212.88,1173.113,39.7670000000001,3.38986951811122%,141873,143577,-1704,-1.1868196159552%,11.697200052767,12.238974421049,-0.541774368281985
Netherlands,,23.853,20.852,3.001,14.3919048532515%,2660,3428,-768,-22.4037339556593%,11.151637110636,16.4396700556302,-5.28803294499418,,523.247,487.939,35.3079999999999,7.23615042044188%,53210,55145,-1935,-3.50893100009067%,10.1691935166375,11.3016176202353,-1.13242410359786
Netherlands VNI,,,,,,0,791,-791,-100%,,,,,,,,,32,971,-939,-96.7044284243049%,,,
Netherlands Sales,,,,,,2660,4219,-1559,-36.9518843327803%,,,,,,,,,53242,56116,-2874,-5.12153396535747%,,,
Belgium+Luxembourg,,30.774,35.839,-5.065,-14.1326487904238%,5151,6653,-1502,-22.5762813768225%,16.7381555858842,18.5635759926337,-1.82542040674954,,689.633,685.174,4.45900000000006,0.650783596575488%,88663,88432,231,0.261217658766055%,12.8565483380291,12.9065025818259,-0.0499542437968632
Belgium VNI,,,,,,5,6,-1,-16.6666666666667%,,,,,,,,,99,144,-45,-31.25%,,,
