Завантаження даних за 365 днів...
=== ПОЧАТОК GRID SEARCH ===
Вікно:  7 | LR: 0.0035 --> Train Loss: 0.006242 | Val Loss: 0.011485
Вікно:  7 | LR: 0.0039 --> Train Loss: 0.004853 | Val Loss: 0.018910
Вікно:  7 | LR: 0.0042 --> Train Loss: 0.007574 | Val Loss: 0.007735
Вікно:  7 | LR: 0.0045 --> Train Loss: 0.005666 | Val Loss: 0.010251
Вікно:  7 | LR: 0.0049 --> Train Loss: 0.005103 | Val Loss: 0.008797
Вікно:  7 | LR: 0.0052 --> Train Loss: 0.006885 | Val Loss: 0.007858
Вікно:  7 | LR: 0.0056 --> Train Loss: 0.005656 | Val Loss: 0.008418
Вікно:  7 | LR: 0.0059 --> Train Loss: 0.006520 | Val Loss: 0.009513
Вікно:  7 | LR: 0.0062 --> Train Loss: 0.005335 | Val Loss: 0.009021
Вікно:  7 | LR: 0.0066 --> Train Loss: 0.004945 | Val Loss: 0.007692
Вікно:  7 | LR: 0.0069 --> Train Loss: 0.004626 | Val Loss: 0.007283
Вікно:  7 | LR: 0.0073 --> Train Loss: 0.004692 | Val Loss: 0.008856
Вікно:  7 | LR: 0.0076 --> Train Loss: 0.005069 | Val Loss: 0.007254
Вікно:  7 | LR: 0.0080 --> Train Loss: 0.006864 | Val Loss: 0.008426
Вікно:  7 | LR: 0.0083 --> Train Loss: 0.006447 | Val Loss: 0.007939
Вікно:  7 | LR: 0.0086 --> Train Loss: 0.007316 | Val Loss: 0.008258
Вікно:  7 | LR: 0.0090 --> Train Loss: 0.005340 | Val Loss: 0.008286
Вікно:  7 | LR: 0.0093 --> Train Loss: 0.005633 | Val Loss: 0.007651
Вікно:  7 | LR: 0.0097 --> Train Loss: 0.006090 | Val Loss: 0.009442
Вікно:  7 | LR: 0.0100 --> Train Loss: 0.005773 | Val Loss: 0.010084
Вікно: 10 | LR: 0.0001 --> Train Loss: 0.129709 | Val Loss: 0.030915
Вікно: 10 | LR: 0.0004 --> Train Loss: 0.009288 | Val Loss: 0.011469
Вікно: 10 | LR: 0.0008 --> Train Loss: 0.011574 | Val Loss: 0.023799
Вікно: 10 | LR: 0.0011 --> Train Loss: 0.009898 | Val Loss: 0.009078
Вікно: 10 | LR: 0.0015 --> Train Loss: 0.007690 | Val Loss: 0.008226
Вікно: 10 | LR: 0.0018 --> Train Loss: 0.008343 | Val Loss: 0.008543
Вікно: 10 | LR: 0.0021 --> Train Loss: 0.008371 | Val Loss: 0.008527
Вікно: 10 | LR: 0.0025 --> Train Loss: 0.007557 | Val Loss: 0.008468
Вікно: 10 | LR: 0.0028 --> Train Loss: 0.007914 | Val Loss: 0.008913
Вікно: 10 | LR: 0.0032 --> Train Loss: 0.007935 | Val Loss: 0.008509
Вікно: 10 | LR: 0.0035 --> Train Loss: 0.005268 | Val Loss: 0.011283
Вікно: 10 | LR: 0.0039 --> Train Loss: 0.007493 | Val Loss: 0.007625
Вікно: 10 | LR: 0.0042 --> Train Loss: 0.007180 | Val Loss: 0.008401
Вікно: 10 | LR: 0.0045 --> Train Loss: 0.007811 | Val Loss: 0.008075
Вікно: 10 | LR: 0.0049 --> Train Loss: 0.007440 | Val Loss: 0.007927
Вікно: 10 | LR: 0.0052 --> Train Loss: 0.005525 | Val Loss: 0.008677
Вікно: 10 | LR: 0.0056 --> Train Loss: 0.006063 | Val Loss: 0.009077
Вікно: 10 | LR: 0.0059 --> Train Loss: 0.006748 | Val Loss: 0.008637
Вікно: 10 | LR: 0.0062 --> Train Loss: 0.006159 | Val Loss: 0.007808
Вікно: 10 | LR: 0.0066 --> Train Loss: 0.006024 | Val Loss: 0.007384
Вікно: 10 | LR: 0.0069 --> Train Loss: 0.005687 | Val Loss: 0.010892
Вікно: 10 | LR: 0.0073 --> Train Loss: 0.005495 | Val Loss: 0.007452
Вікно: 10 | LR: 0.0076 --> Train Loss: 0.005812 | Val Loss: 0.007665
Вікно: 10 | LR: 0.0080 --> Train Loss: 0.005095 | Val Loss: 0.012300
Вікно: 10 | LR: 0.0083 --> Train Loss: 0.005313 | Val Loss: 0.007548
