Field_in_data,Description_of_information,Filling,At_the_time_of_the_request,Place_of_definition,Note
other_loans_active,Присутні непогашені позики,,Відомо,Вказує позичальник,
other_loans_about_current,Загальний розмір непогашених позиків,,Відомо,Вказує позичальник,
other_loans_about_monthly,Щомісячні виплати по непогашеним позикам,,Відомо,Вказує позичальник,
extended,json додаткові інформація з облікової системи,,Відомо для повторных,,
status_id,"5- закритий, 4 - діючий не протермінований, 6- активный протермінований",,Не відомо,Призначається системою обробки заявок,
loan_closed,Позика закрита,,Не відомо,Призначається системою обробки заявок,
loan_overdue,Позика протермінована,,Не відомо,Призначається системою обробки заявок,
loan_status_id,не використовується,,Не відомо,Призначається системою обробки заявок,
decision_status_id,статус рішення за заявкою,,???,поля пов'язані із прийняттям рішення,
decision_application_id,id в системі прийняття рішень,,???,,
decision_flow_id,id процеса кредитної політики,,???,,
decision_is_exported,експорт прапорець,,???,,
decision_exported_at,експорт дата,,???,,
product_id,"id продукта, який видається замовнику",Обов'язково,???,"параметри, повязані з виданим продуктом",
product_dpr,відсоткова ставка по кредиту,,???,"параметри, повязані з виданим продуктом",
product_amount_from,Нижня межа виду позики,Обов'язково,???,"параметри, повязані з виданим продуктом",
product_amount_to,Верхня межа виду позики,Обов'язково,???,"параметри, повязані з виданим продуктом",
product_overdue_dpr                ,відсоткова  ставка по кредиту при простроченні,,???,"параметри, повязані з виданим продуктом",
product_interest_min,мінімальна сума по продукту,,???,"параметри, повязані з виданим продуктом",
product_overdue_start_day          ,кількість днів прострочення,,???,"параметри, повязані з виданим продуктом",
product_base_amount_limit,ліміт суми по продукту,,???,"параметри, повязані з виданим продуктом",
amount_limit,ліміт суми,,???,"параметри, повязані з виданим продуктом",
applied_limit,затверджені ліміти,,???,"параметри, повязані з виданим продуктом",
amount_to_pay,сума для оплати мінімальна,,???,"параметри, повязані з виданим продуктом",
total_paid,усього виплачено за договором,,???,,
current_interest_amount,нараховано стандартних відсотків,,???,,
current_overdue_interest_amount,сума прострочених відсотків,,???,,
current_rest_amount,сума боргу,,???,,
current_principal_balance,залишок по тілу кредита,,???,,
overdue_amount,Невиплачена сума на момент завершення позики,,Не відомо,,
overdue_days,Кількість днів прострочення,,Не відомо,,
extension_amount,не використовується,,Не відомо,,
extension_days,не використовується,,Не відомо,,
payment_date,планова дата оплати,,Не відомо,,
billing_updated_at,дата часу оновлення билинга,,Не відомо,,
closed_at,Дата і час закриття заявки,,Не відомо,,
forced_to_close,Заявка закрита примусово,,Не відомо,,
is_restructured,Заявку реструктуровано,,Не відомо,,
product_profile_id,ID профиля продукту,,Відомо,Визначається системою обліку заявок,
credit_policy_id,Кредитна політика по якій видається кредит,,???,,
user_id,ID користувача,Обов'язково,Відомо,,
credit_card_id,ID банковскої картки користувача,,Відомо,,
cardholder_name,Ім'я користувача на банківській картці,,Відомо,,
face_id,"id обличчя, використовуємо сторонній сервіс для розпізнавання обличчя",,???,,
step,номер кроку на якому зупинився клієнт при оформленні заявки,,???,,
created_at,Дата і час створення заявки,Обов'язково,Відомо,Визначається при подачі заявки,Локальное время на устройстве пользователя или это время системы приема заявок?
updated_at,Дата і час останньої зміни заявки,Обов'язково,Відомо,Визначається при подачі заявки,Локальное время на устройстве пользователя или это время системы приема заявок?
